Date,MSFT,AAPL,TSLA,BTC-USD,^GSPC,PM,KO,AAL,AXP
2015-01-02,41.10883712768555,24.714506149291992,43.86199951171875,315.0320129394531,2058.199951171875,56.79501724243164,33.304893493652344,51.07991409301758,83.34687805175781
2015-01-05,40.730812072753906,24.018259048461914,42.018001556396484,274.4739990234375,2020.5799560546875,56.36741256713867,33.304893493652344,51.05148696899414,81.14271545410156
2015-01-06,40.13298797607422,24.020517349243164,42.25600051879883,286.1889953613281,2002.6099853515625,56.85110855102539,33.55781555175781,50.25558090209961,79.41340637207031
2015-01-07,40.64289474487305,24.357341766357422,42.189998626708984,294.3370056152344,2025.9000244140625,57.27870559692383,33.97669219970703,50.2271614074707,81.14778900146484
2015-01-08,41.83852005004883,25.2932071685791,42.124000549316406,283.3489990234375,2062.139892578125,58.14094924926758,34.38767623901367,50.84304428100586,82.29806518554688
2015-01-09,41.486873626708984,25.320337295532227,41.332000732421875,290.4079895019531,2044.81005859375,57.986732482910156,34.008304595947266,49.28913116455078,81.25562286376953
2015-01-12,40.96818161010742,24.696428298950195,40.44200134277344,267.7959899902344,2028.260009765625,58.218055725097656,33.700069427490234,46.97722244262695,80.42888641357422
2015-01-13,40.7571907043457,24.915695190429688,40.849998474121094,225.86099243164062,2023.030029296875,58.25310134887695,33.69217300415039,47.754173278808594,80.18624877929688
2015-01-14,40.405513763427734,24.820751190185547,38.53799819946289,178.10299682617188,2011.27001953125,58.4774284362793,33.6368522644043,46.81614685058594,78.24517822265625
2015-01-15,39.98353958129883,24.147111892700195,38.374000549316406,209.843994140625,1992.6700439453125,58.05682373046875,33.49458694458008,46.81614685058594,77.17576599121094
2015-01-16,40.65169143676758,23.95949363708496,38.61399841308594,208.0970001220703,2019.4200439453125,57.97270202636719,33.613136291503906,47.19514465332031,77.31958770751953
2015-01-20,40.78356170654297,24.576618194580078,38.38600158691406,211.31500244140625,2022.550048828125,58.58959197998047,34.111045837402344,49.980812072753906,78.41590118408203
2015-01-21,40.37035369873047,24.764244079589844,39.31399917602539,226.89700317382812,2032.1199951171875,59.26955032348633,34.26911544799805,50.85251235961914,78.78433990478516
2015-01-22,41.43412399291992,25.40849494934082,40.32400131225586,233.406005859375,2063.14990234375,59.69715881347656,34.60105514526367,52.67171859741211,75.81883239746094
2015-01-23,41.47807693481445,25.53960609436035,40.257999420166016,232.87899780273438,2051.820068359375,58.05682373046875,34.22960662841797,52.7664680480957,75.60313415527344
2015-01-26,41.3286247253418,25.566730499267578,41.310001373291016,273.4729919433594,2057.090087890625,58.218055725097656,33.98460006713867,52.539066314697266,74.85728454589844
2015-01-27,37.50435256958008,24.671558380126953,41.19599914550781,263.4750061035156,2029.550048828125,57.20161819458008,33.502479553222656,49.933441162109375,74.0484848022461
2015-01-28,36.211997985839844,26.066314697265625,39.874000549316406,233.9149932861328,2002.1600341796875,56.48657989501953,33.13102722167969,47.962623596191406,73.44638061523438
2015-01-29,36.93289566040039,26.87784767150879,41.040000915527344,233.51300048828125,2021.25,56.93523025512695,33.273284912109375,49.49758529663086,73.68901062011719
2015-01-30,35.517478942871094,26.484512329101562,40.720001220703125,226.4250030517578,1994.989990234375,56.24824523925781,32.53828430175781,46.50347137451172,72.51181030273438
2015-02-02,36.29112243652344,26.816810607910156,42.1879997253418,238.22900390625,2020.8499755859375,57.22262954711914,32.870208740234375,46.16236114501953,73.80584716796875
2015-02-03,36.57244110107422,26.821334838867188,43.672000885009766,227.26800537109375,2050.030029296875,57.650245666503906,32.901851654052734,45.00640869140625,75.2436752319336
2015-02-04,36.783443450927734,27.027040481567383,43.709999084472656,226.85299682617188,2041.510009765625,57.53806686401367,32.941349029541016,46.863529205322266,75.13584899902344
2015-02-05,37.319725036621094,27.219947814941406,44.198001861572266,217.11099243164062,2062.52001953125,57.88157653808594,33.028282165527344,46.34133529663086,76.142333984375
2015-02-06,37.284549713134766,26.990734100341797,43.47200012207031,222.26600646972656,2055.469970703125,56.97028350830078,32.75956726074219,45.714725494384766,76.39395141601562
2015-02-09,37.24059295654297,27.170021057128906,43.49599838256836,220.11000061035156,2046.739990234375,56.66183853149414,32.585689544677734,44.176658630371094,76.36701202392578
2015-02-10,37.45159149169922,27.691997528076172,43.257999420166016,219.83900451660156,2068.590087890625,56.837074279785156,33.51039505004883,45.61978530883789,77.13983154296875
2015-02-11,37.258174896240234,28.341060638427734,42.560001373291016,219.18499755859375,2068.530029296875,57.8184700012207,33.486671447753906,45.18303298950195,77.29261016845703
2015-02-12,37.882362365722656,28.699636459350586,40.57600021362305,221.76400756835938,2088.47998046875,58.666683197021484,33.32861328125,45.458377838134766,72.32308959960938
2015-02-13,38.568111419677734,28.84033966064453,40.75400161743164,235.427001953125,2096.989990234375,58.09188461303711,33.18635940551758,45.94259262084961,70.16634368896484
2015-02-17,38.58582305908203,29.010555267333984,40.869998931884766,243.61000061035156,2100.340087890625,57.97970962524414,33.04409408569336,45.58179473876953,71.0649642944336
2015-02-18,38.541542053222656,29.21253776550293,40.891998291015625,236.3260040283203,2099.679931640625,58.18299102783203,32.980865478515625,46.8160514831543,71.69403839111328
2015-02-19,38.514984130859375,29.151260375976562,42.34199905395508,240.2830047607422,2097.449951171875,57.91661834716797,33.28119659423828,47.26228713989258,70.45390319824219
2015-02-20,38.833736419677734,29.389554977416992,43.422000885009766,243.7790069580078,2110.300048828125,58.211036682128906,33.17054748535156,48.43955993652344,71.73896789550781
